"","Variable","PermutationImportance","Model"
"gwcode...1",NA,0,"Baseline"
"dfo_severity...2","Flood severity",-44.7380256390276,"Baseline"
"duration...3","Flood duration",-10.3895630128811,"Baseline"
"nevents_sum10...4","Past flood events",443.95332835787,"Baseline"
"population_affected...5","Exposed population",-61.8527820184422,"Baseline"
"rugged...6","Rugged terrain",122.48728841586,"Baseline"
"hdi_l1...7",NA,0,"Baseline"
"wdi_gdppc...8",NA,0,"Baseline"
"tropical_flood...9","Tropical flood",0,"Baseline"
"year...10",NA,0,"Baseline"
"brd_12mb...11","Local conflict",0,"Baseline"
"decay_brds_c...12","Conflict history",0,"Baseline"
"v2xpe_exlsocgr...13","Inclusion",0,"Baseline"
"e_wbgi_vae...14","Accountability",0,"Baseline"
"e_wbgi_gee...15","Gov. effectiveness",0,"Baseline"
"v2x_rule...16","Rule of law",0,"Baseline"
"continent...17",NA,0,"Baseline"
"tropical_flood_dummy...18",NA,58.5916756910834,"Baseline"
"gwcode...19",NA,0,"Conflict history"
"dfo_severity...20","Flood severity",-7.52305539848288,"Conflict history"
"duration...21","Flood duration",-1.74944520399544,"Conflict history"
"nevents_sum10...22","Past flood events",45.1475951543778,"Conflict history"
"population_affected...23","Exposed population",-101.336969184283,"Conflict history"
"rugged...24","Rugged terrain",-6.48927692418033,"Conflict history"
"hdi_l1...25",NA,0,"Conflict history"
"wdi_gdppc...26",NA,0,"Conflict history"
"tropical_flood...27","Tropical flood",0,"Conflict history"
"year...28",NA,0,"Conflict history"
"brd_12mb...29","Local conflict",0,"Conflict history"
"decay_brds_c...30","Conflict history",-77.3215721659022,"Conflict history"
"v2xpe_exlsocgr...31","Inclusion",0,"Conflict history"
"e_wbgi_vae...32","Accountability",0,"Conflict history"
"e_wbgi_gee...33","Gov. effectiveness",0,"Conflict history"
"v2x_rule...34","Rule of law",0,"Conflict history"
"continent...35",NA,0,"Conflict history"
"tropical_flood_dummy...36",NA,-69.4746290318445,"Conflict history"
"gwcode...37",NA,0,"Local conflict"
"dfo_severity...38","Flood severity",-6.00883362612075,"Local conflict"
"duration...39","Flood duration",-26.3633836244657,"Local conflict"
"nevents_sum10...40","Past flood events",798.019523225418,"Local conflict"
"population_affected...41","Exposed population",-62.4970466508171,"Local conflict"
"rugged...42","Rugged terrain",63.3344246985071,"Local conflict"
"hdi_l1...43",NA,0,"Local conflict"
"wdi_gdppc...44",NA,0,"Local conflict"
"tropical_flood...45","Tropical flood",0,"Local conflict"
"year...46",NA,0,"Local conflict"
"brd_12mb...47","Local conflict",35.0112220823426,"Local conflict"
"decay_brds_c...48","Conflict history",0,"Local conflict"
"v2xpe_exlsocgr...49","Inclusion",0,"Local conflict"
"e_wbgi_vae...50","Accountability",0,"Local conflict"
"e_wbgi_gee...51","Gov. effectiveness",0,"Local conflict"
"v2x_rule...52","Rule of law",0,"Local conflict"
"continent...53",NA,0,"Local conflict"
"tropical_flood_dummy...54",NA,-28.2150321634391,"Local conflict"
"gwcode...55",NA,0,"Accountability"
"dfo_severity...56","Flood severity",-26.6007237859188,"Accountability"
"duration...57","Flood duration",2.50673505646887,"Accountability"
"nevents_sum10...58","Past flood events",111.590256499605,"Accountability"
"population_affected...59","Exposed population",-11.6878935475769,"Accountability"
"rugged...60","Rugged terrain",0,"Accountability"
"hdi_l1...61",NA,0,"Accountability"
"wdi_gdppc...62",NA,0,"Accountability"
"tropical_flood...63","Tropical flood",0,"Accountability"
"year...64",NA,0,"Accountability"
"brd_12mb...65","Local conflict",0,"Accountability"
"decay_brds_c...66","Conflict history",0,"Accountability"
"v2xpe_exlsocgr...67","Inclusion",0,"Accountability"
"e_wbgi_vae...68","Accountability",0.0145367286998521,"Accountability"
"e_wbgi_gee...69","Gov. effectiveness",0,"Accountability"
"v2x_rule...70","Rule of law",0,"Accountability"
"continent...71",NA,0,"Accountability"
"tropical_flood_dummy...72",NA,7.1219269147216,"Accountability"
"gwcode...73",NA,0,"Gov. effectiveness"
"dfo_severity...74","Flood severity",-18.350815288225,"Gov. effectiveness"
"duration...75","Flood duration",48.2445263533438,"Gov. effectiveness"
"nevents_sum10...76","Past flood events",52.8980285462276,"Gov. effectiveness"
"population_affected...77","Exposed population",192.563167841636,"Gov. effectiveness"
"rugged...78","Rugged terrain",5.56733384047482,"Gov. effectiveness"
"hdi_l1...79",NA,0,"Gov. effectiveness"
"wdi_gdppc...80",NA,0,"Gov. effectiveness"
"tropical_flood...81","Tropical flood",0,"Gov. effectiveness"
"year...82",NA,0,"Gov. effectiveness"
"brd_12mb...83","Local conflict",0,"Gov. effectiveness"
"decay_brds_c...84","Conflict history",0,"Gov. effectiveness"
"v2xpe_exlsocgr...85","Inclusion",0,"Gov. effectiveness"
"e_wbgi_vae...86","Accountability",0,"Gov. effectiveness"
"e_wbgi_gee...87","Gov. effectiveness",-197.266605894186,"Gov. effectiveness"
"v2x_rule...88","Rule of law",0,"Gov. effectiveness"
"continent...89",NA,0,"Gov. effectiveness"
"tropical_flood_dummy...90",NA,8.86594946096375,"Gov. effectiveness"
"gwcode...91",NA,0,"Inclusion"
"dfo_severity...92","Flood severity",-29.0415879801206,"Inclusion"
"duration...93","Flood duration",0.465759053876695,"Inclusion"
"nevents_sum10...94","Past flood events",63.8907120554995,"Inclusion"
"population_affected...95","Exposed population",-34.956573119855,"Inclusion"
"rugged...96","Rugged terrain",27.405235257515,"Inclusion"
"hdi_l1...97",NA,0,"Inclusion"
"wdi_gdppc...98",NA,0,"Inclusion"
"tropical_flood...99","Tropical flood",0,"Inclusion"
"year...100",NA,0,"Inclusion"
"brd_12mb...101","Local conflict",0,"Inclusion"
"decay_brds_c...102","Conflict history",0,"Inclusion"
"v2xpe_exlsocgr...103","Inclusion",186.879760485225,"Inclusion"
"e_wbgi_vae...104","Accountability",0,"Inclusion"
"e_wbgi_gee...105","Gov. effectiveness",0,"Inclusion"
"v2x_rule...106","Rule of law",0,"Inclusion"
"continent...107",NA,0,"Inclusion"
"tropical_flood_dummy...108",NA,17.4687840951564,"Inclusion"
"gwcode...109",NA,0,"Rule of law"
"dfo_severity...110","Flood severity",8.57363790946715,"Rule of law"
"duration...111","Flood duration",-5.01600060997976,"Rule of law"
"nevents_sum10...112","Past flood events",109.885853387097,"Rule of law"
"population_affected...113","Exposed population",19.0926862916248,"Rule of law"
"rugged...114","Rugged terrain",6.64606158709751,"Rule of law"
"hdi_l1...115",NA,0,"Rule of law"
"wdi_gdppc...116",NA,0,"Rule of law"
"tropical_flood...117","Tropical flood",0,"Rule of law"
"year...118",NA,0,"Rule of law"
"brd_12mb...119","Local conflict",0,"Rule of law"
"decay_brds_c...120","Conflict history",0,"Rule of law"
"v2xpe_exlsocgr...121","Inclusion",0,"Rule of law"
"e_wbgi_vae...122","Accountability",0,"Rule of law"
"e_wbgi_gee...123","Gov. effectiveness",0,"Rule of law"
"v2x_rule...124","Rule of law",-66.0923068681589,"Rule of law"
"continent...125",NA,0,"Rule of law"
"tropical_flood_dummy...126",NA,320.052312424818,"Rule of law"
